accession,pred_phenotype,true_phenotype
ERR016633,Susceptible,Resistant
ERR016654,Resistant,Resistant
ERR016733,Susceptible,Susceptible
ERR016746,Susceptible,Resistant
ERR016747,Susceptible,Resistant
ERR016766,Susceptible,Resistant
ERR016777,Susceptible,Resistant
ERR016860,Susceptible,Resistant
ERR019700,Susceptible,Resistant
ERR023426,Susceptible,Resistant
ERR023451,Susceptible,Resistant
ERR023453,Susceptible,Resistant
ERR024229,Susceptible,Resistant
ERR029367,Susceptible,Resistant
ERR029376,Susceptible,Resistant
ERR029462,Resistant,Resistant
ERR029478,Resistant,Resistant
ERR030148,Susceptible,Resistant
ERR030183,Resistant,Resistant
ERR030189,Resistant,Resistant
ERR052526,Susceptible,Resistant
ERR053008,Resistant,Resistant
ERR053039,Resistant,Resistant
ERR065294,Resistant,Intermediate
ERR065297,Susceptible,Intermediate
ERR065310,Susceptible,Susceptible
ERR065316,Resistant,Susceptible
ERR065355,Susceptible,Susceptible
ERR067967,Susceptible,Susceptible
ERR068003,Resistant,Intermediate
ERR068026,Susceptible,Intermediate
ERR069747,Resistant,Resistant
ERR069761,Resistant,Intermediate
ERR069765,Susceptible,Susceptible
ERR069835,Susceptible,Susceptible
ERR1069824,Susceptible,Susceptible
ERR1069883,Susceptible,Susceptible
ERR1070042,Resistant,Resistant
ERR1197668,Susceptible,Resistant
ERR1218765,Resistant,Resistant
ERR124274,Susceptible,Resistant
ERR124277,Susceptible,Susceptible
ERR124299,Susceptible,Susceptible
ERR124311,Susceptible,Susceptible
ERR129041,Susceptible,Susceptible
ERR129063,Susceptible,Susceptible
ERR129108,Resistant,Resistant
ERR129139,Susceptible,Susceptible
ERR129152,Susceptible,Susceptible
ERR129198,Susceptible,Resistant
ERR1407279,Susceptible,Susceptible
ERR1407280,Susceptible,Susceptible
ERR1912619,Susceptible,Susceptible
ERR191760,Intermediate,Resistant
ERR191793,Intermediate,Resistant
ERR191801,Intermediate,Susceptible
ERR191811,Intermediate,Resistant
ERR2133902,Intermediate,Susceptible
ERR2133907,Intermediate,Susceptible
ERR2133908,Intermediate,Susceptible
ERR2133909,Intermediate,Susceptible
ERR2133949,Intermediate,Susceptible
ERR2133951,Intermediate,Susceptible
ERR2133953,Intermediate,Susceptible
ERR2133958,Intermediate,Resistant
ERR2209642,Resistant,Resistant
ERR2209721,Susceptible,Susceptible
ERR2209725,Susceptible,Susceptible
ERR2209736,Susceptible,Resistant
ERR222900,Intermediate,Resistant
ERR222928,Resistant,Resistant
ERR222939,Intermediate,Resistant
ERR223625,Intermediate,Resistant
ERR223631,Intermediate,Resistant
ERR223636,Intermediate,Resistant
ERR223637,Intermediate,Resistant
ERR223686,Intermediate,Resistant
ERR2309521,Susceptible,Susceptible
ERR2309526,Susceptible,Intermediate
ERR2309529,Susceptible,Intermediate
ERR2309553,Susceptible,Susceptible
ERR2309554,Susceptible,Susceptible
ERR2309594,Susceptible,Intermediate
ERR2580150,Susceptible,Susceptible
ERR2580153,Susceptible,Susceptible
ERR2580157,Susceptible,Susceptible
ERR2580161,Susceptible,Susceptible
ERR3164706,Susceptible,Susceptible
ERR3164718,Susceptible,Susceptible
ERR3164766,Susceptible,Intermediate
ERR3164780,Susceptible,Susceptible
ERR3449879,Susceptible,Resistant
ERR3449881,Susceptible,Resistant
ERR3449884,Susceptible,Resistant
ERR349915,Intermediate,Resistant
ERR349959,Intermediate,Intermediate
ERR349961,Intermediate,Intermediate
ERR349991,Resistant,Resistant
ERR350040,Intermediate,Resistant
ERR352738,Intermediate,Resistant
ERR363586,Intermediate,Intermediate
ERR363593,Intermediate,Intermediate
ERR363599,Intermediate,Resistant
ERR363602,Intermediate,Intermediate
ERR388287,Intermediate,Resistant
ERR388362,Intermediate,Resistant
ERR388387,Intermediate,Resistant
ERR391724,Resistant,Resistant
ERR4013426,Susceptible,Susceptible
ERR4013450,Susceptible,Susceptible
ERR4013457,Susceptible,Intermediate
ERR4013462,Susceptible,Susceptible
ERR410046,Susceptible,Susceptible
ERR410091,Susceptible,Susceptible
ERR410104,Susceptible,Susceptible
ERR410124,Susceptible,Susceptible
ERR418320,Resistant,Resistant
ERR418326,Susceptible,Resistant
ERR418409,Susceptible,Resistant
ERR418420,Susceptible,Susceptible
ERR418477,Susceptible,Susceptible
ERR418483,Susceptible,Susceptible
ERR418500,Susceptible,Susceptible
ERR418567,Susceptible,Susceptible
ERR418568,Susceptible,Susceptible
ERR418588,Susceptible,Susceptible
ERR418648,Susceptible,Susceptible
ERR418721,Susceptible,Susceptible
ERR418734,Susceptible,Resistant
ERR418744,Susceptible,Susceptible
ERR418745,Resistant,Resistant
ERR418753,Susceptible,Resistant
ERR418766,Resistant,Resistant
ERR418770,Susceptible,Resistant
ERR418867,Susceptible,Susceptible
