accession,num_hits,num_seqs,num_pred_res,num_pred_int,num_pred_sus,species,actual_phenotype
DRR124693,65,34,1,26,7,neisseria_gonorrhoeae,Intermediate
ERR016639,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016644,22,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016645,100,12,12,0,0,streptococcus_pneumoniae,Resistant
ERR016646,100,12,11,1,0,streptococcus_pneumoniae,Resistant
ERR016648,100,8,7,0,1,streptococcus_pneumoniae,Resistant
ERR016653,100,9,9,0,0,streptococcus_pneumoniae,Resistant
ERR016654,100,8,7,0,1,streptococcus_pneumoniae,Resistant
ERR016666,100,7,6,0,1,streptococcus_pneumoniae,Resistant
ERR016668,98,6,4,2,0,streptococcus_pneumoniae,Resistant
ERR016670,100,15,15,0,0,streptococcus_pneumoniae,Resistant
ERR016672,100,10,10,0,0,streptococcus_pneumoniae,Resistant
ERR016700,100,10,10,0,0,streptococcus_pneumoniae,Resistant
ERR016723,6,2,0,0,2,streptococcus_pneumoniae,Susceptible
ERR016725,6,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR016746,6,2,1,0,1,streptococcus_pneumoniae,Resistant
ERR016750,6,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR016753,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016759,7,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016772,7,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016794,100,12,8,3,1,streptococcus_pneumoniae,Resistant
ERR016837,0,5,0,0,5,streptococcus_pneumoniae,Susceptible
ERR016839,6,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR016840,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR016843,6,4,0,0,4,streptococcus_pneumoniae,Susceptible
ERR016847,6,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR016857,100,11,10,1,0,streptococcus_pneumoniae,Resistant
ERR016860,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR018826,100,9,7,0,2,streptococcus_pneumoniae,Resistant
ERR019720,100,12,10,2,0,streptococcus_pneumoniae,Resistant
ERR019723,6,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR019724,17,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR019731,100,11,9,2,0,streptococcus_pneumoniae,Resistant
ERR023428,9,3,0,0,3,streptococcus_pneumoniae,Susceptible
ERR023429,6,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR023438,100,10,9,0,1,streptococcus_pneumoniae,Resistant
ERR023450,8,1,0,0,1,streptococcus_pneumoniae,Susceptible
ERR023457,6,3,1,0,2,streptococcus_pneumoniae,Susceptible
ERR024211,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR024218,6,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR024231,6,2,1,0,1,streptococcus_pneumoniae,Resistant
ERR024236,6,1,1,0,0,streptococcus_pneumoniae,Resistant
ERR024271,28,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR024276,100,58,6,49,3,streptococcus_pneumoniae,Intermediate
ERR024277,100,12,10,1,1,streptococcus_pneumoniae,Resistant
ERR024278,100,9,8,0,1,streptococcus_pneumoniae,Resistant
ERR029347,14,3,3,0,0,staphylococcus_aureus,Resistant
ERR029348,3,1,0,0,1,staphylococcus_aureus,Susceptible
ERR029350,14,2,1,0,1,staphylococcus_aureus,Resistant
ERR029351,14,3,2,0,1,staphylococcus_aureus,Resistant
ERR029353,14,2,2,0,0,staphylococcus_aureus,Resistant
ERR029357,13,2,1,0,1,staphylococcus_aureus,Resistant
ERR029363,13,3,3,0,0,staphylococcus_aureus,Resistant
ERR029369,14,2,1,0,1,staphylococcus_aureus,Resistant
ERR029376,14,4,4,0,0,staphylococcus_aureus,Resistant
ERR029379,2,2,0,0,2,staphylococcus_aureus,Susceptible
ERR029380,14,2,2,0,0,staphylococcus_aureus,Resistant
ERR029388,14,2,2,0,0,staphylococcus_aureus,Resistant
ERR029389,14,1,1,0,0,staphylococcus_aureus,Resistant
ERR029456,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR029462,189,15,15,0,0,staphylococcus_aureus,Resistant
ERR029463,2,1,0,0,1,staphylococcus_aureus,Resistant
ERR029464,189,17,17,0,0,staphylococcus_aureus,Resistant
ERR029465,189,8,8,0,0,staphylococcus_aureus,Resistant
ERR029468,200,19,19,0,0,staphylococcus_aureus,Resistant
ERR029472,189,24,24,0,0,staphylococcus_aureus,Resistant
ERR029473,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR029476,189,10,10,0,0,staphylococcus_aureus,Resistant
ERR029478,189,19,19,0,0,staphylococcus_aureus,Resistant
ERR030153,14,5,3,0,2,staphylococcus_aureus,Susceptible
ERR030158,198,16,16,0,0,staphylococcus_aureus,Resistant
ERR030161,13,1,1,0,0,staphylococcus_aureus,Resistant
ERR030162,14,1,0,0,1,staphylococcus_aureus,Resistant
ERR030167,14,1,1,0,0,staphylococcus_aureus,Resistant
ERR030168,189,17,17,0,0,staphylococcus_aureus,Resistant
ERR030171,199,17,17,0,0,staphylococcus_aureus,Resistant
ERR030172,189,16,16,0,0,staphylococcus_aureus,Resistant
ERR030181,13,1,1,0,0,staphylococcus_aureus,Resistant
ERR030183,189,9,9,0,0,staphylococcus_aureus,Resistant
ERR030184,189,12,12,0,0,staphylococcus_aureus,Resistant
ERR030189,189,15,15,0,0,staphylococcus_aureus,Resistant
ERR030191,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030194,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030197,200,11,11,0,0,staphylococcus_aureus,Resistant
ERR030201,189,17,17,0,0,staphylococcus_aureus,Resistant
ERR030202,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030204,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR030210,189,9,9,0,0,staphylococcus_aureus,Resistant
ERR030213,189,14,14,0,0,staphylococcus_aureus,Resistant
ERR030215,189,8,8,0,0,staphylococcus_aureus,Resistant
ERR030222,200,13,13,0,0,staphylococcus_aureus,Resistant
ERR030226,14,5,2,0,3,staphylococcus_aureus,Susceptible
ERR030231,189,9,9,0,0,staphylococcus_aureus,Resistant
ERR030234,200,19,19,0,0,staphylococcus_aureus,Resistant
ERR030238,189,6,6,0,0,staphylococcus_aureus,Resistant
ERR030241,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030244,189,17,17,0,0,staphylococcus_aureus,Resistant
ERR030245,189,8,8,0,0,staphylococcus_aureus,Resistant
ERR030254,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030258,199,21,21,0,0,staphylococcus_aureus,Resistant
ERR030265,189,13,13,0,0,staphylococcus_aureus,Resistant
ERR030276,189,11,11,0,0,staphylococcus_aureus,Resistant
ERR030277,200,11,11,0,0,staphylococcus_aureus,Resistant
ERR030278,189,21,21,0,0,staphylococcus_aureus,Resistant
ERR030281,189,9,9,0,0,staphylococcus_aureus,Resistant
ERR031661,200,8,8,0,0,staphylococcus_aureus,Resistant
ERR051794,102,6,6,0,0,streptococcus_pneumoniae,Resistant
ERR051801,102,8,6,0,2,streptococcus_pneumoniae,Resistant
ERR051829,7,2,0,0,2,streptococcus_pneumoniae,Resistant
ERR051858,102,14,13,1,0,streptococcus_pneumoniae,Resistant
ERR051878,102,11,11,0,0,streptococcus_pneumoniae,Resistant
ERR051896,102,7,6,0,1,streptococcus_pneumoniae,Resistant
ERR051902,102,5,4,0,1,streptococcus_pneumoniae,Resistant
ERR051978,102,11,11,0,0,streptococcus_pneumoniae,Resistant
ERR051982,102,10,9,0,1,streptococcus_pneumoniae,Resistant
ERR051990,102,4,4,0,0,streptococcus_pneumoniae,Resistant
ERR051993,102,11,11,0,0,streptococcus_pneumoniae,Resistant
ERR051994,102,13,11,0,2,streptococcus_pneumoniae,Resistant
ERR051995,0,1,0,0,1,streptococcus_pneumoniae,Resistant
ERR051996,102,14,14,0,0,streptococcus_pneumoniae,Resistant
ERR051999,102,10,10,0,0,streptococcus_pneumoniae,Resistant
ERR052017,7,1,0,0,1,streptococcus_pneumoniae,Resistant
