file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
contigs/ERR2580157.fasta	FASTA	DNA	442	4978725	128	11264.1	539482
contigs/ERR2580158.fasta	FASTA	DNA	337	4801660	128	14248.2	616869
contigs/ERR2580159.fasta	FASTA	DNA	384	5041016	128	13127.6	398328
contigs/ERR2580160.fasta	FASTA	DNA	385	5053838	128	13126.9	398328
contigs/ERR2580161.fasta	FASTA	DNA	314	4949317	128	15762.2	627370
contigs/ERR2580162.fasta	FASTA	DNA	406	4987204	133	12283.8	625736
contigs/ERR2580163.fasta	FASTA	DNA	455	5080673	128	11166.3	339839
contigs/ERR2580170.fasta	FASTA	DNA	414	4939215	128	11930.5	459802
contigs/ERR2580171.fasta	FASTA	DNA	366	4913158	128	13423.9	776205
contigs/ERR2580172.fasta	FASTA	DNA	389	4815516	128	12379.2	720998
contigs/ERR271785.fasta	FASTA	DNA	649	2207886	56	3402.0	96102
contigs/ERR3164631.fasta	FASTA	DNA	1885	6280365	78	3331.8	474406
contigs/ERR3164639.fasta	FASTA	DNA	1490	5933203	78	3982.0	435241
contigs/ERR3164645.fasta	FASTA	DNA	1493	6040897	78	4046.1	453970
contigs/ERR3164647.fasta	FASTA	DNA	1425	6081204	78	4267.5	460704
contigs/ERR3164648.fasta	FASTA	DNA	1742	6277144	78	3603.4	655264
contigs/ERR3164661.fasta	FASTA	DNA	1314	6025736	78	4585.8	522963
contigs/ERR3164667.fasta	FASTA	DNA	1664	6217354	78	3736.4	331348
contigs/ERR3164669.fasta	FASTA	DNA	1363	6053429	78	4441.3	331110
contigs/ERR3164672.fasta	FASTA	DNA	1164	6019768	78	5171.6	331347
contigs/ERR3164678.fasta	FASTA	DNA	1107	5946156	78	5371.4	523728
contigs/ERR3164679.fasta	FASTA	DNA	1824	6128819	78	3360.1	689259
contigs/ERR3164682.fasta	FASTA	DNA	1768	5789440	78	3274.6	357172
contigs/ERR3164685.fasta	FASTA	DNA	1309	5954333	78	4548.8	592488
contigs/ERR3164691.fasta	FASTA	DNA	538	5686699	78	10570.1	592468
contigs/ERR3164695.fasta	FASTA	DNA	653	5962440	78	9130.8	529918
contigs/ERR3164702.fasta	FASTA	DNA	366	1165605	78	3184.7	101900
contigs/ERR3164703.fasta	FASTA	DNA	2460	6755958	78	2746.3	476763
contigs/ERR3164706.fasta	FASTA	DNA	2144	6312882	78	2944.4	523728
contigs/ERR3164707.fasta	FASTA	DNA	2097	6478418	78	3089.4	331227
contigs/ERR3164709.fasta	FASTA	DNA	2286	6384614	78	2792.9	466881
contigs/ERR3164714.fasta	FASTA	DNA	2518	6572409	78	2610.2	621125
contigs/ERR3164718.fasta	FASTA	DNA	2372	6479153	78	2731.5	523728
contigs/ERR3164720.fasta	FASTA	DNA	2440	6894077	78	2825.4	354910
contigs/ERR3164723.fasta	FASTA	DNA	747	6171192	78	8261.3	355453
contigs/ERR3164733.fasta	FASTA	DNA	545	5654667	78	10375.5	400996
contigs/ERR3164735.fasta	FASTA	DNA	768	5764932	78	7506.4	361825
contigs/ERR3164747.fasta	FASTA	DNA	798	5846480	78	7326.4	523626
contigs/ERR3164748.fasta	FASTA	DNA	488	5596776	78	11468.8	314019
contigs/ERR3164753.fasta	FASTA	DNA	881	5878446	78	6672.5	501057
contigs/ERR3164756.fasta	FASTA	DNA	881	5919761	78	6719.4	668359
contigs/ERR3164758.fasta	FASTA	DNA	581	5687685	78	9789.5	449616
contigs/ERR3164759.fasta	FASTA	DNA	656	5707212	78	8700.0	523728
contigs/ERR3164766.fasta	FASTA	DNA	583	5579612	78	9570.5	331349
contigs/ERR3164768.fasta	FASTA	DNA	518	5755499	78	11111.0	523494
contigs/ERR3164771.fasta	FASTA	DNA	777	5834067	78	7508.5	523727
contigs/ERR3164772.fasta	FASTA	DNA	644	5796896	78	9001.4	560106
contigs/ERR3164773.fasta	FASTA	DNA	536	5747912	78	10723.7	523727
contigs/ERR3164775.fasta	FASTA	DNA	744	5761713	78	7744.2	521298
contigs/ERR3164777.fasta	FASTA	DNA	671	5834569	78	8695.3	561644
contigs/ERR3164778.fasta	FASTA	DNA	531	5774404	78	10874.6	560106
contigs/ERR3164780.fasta	FASTA	DNA	731	5817076	78	7957.7	469163
contigs/ERR3449877.fasta	FASTA	DNA	422	4960689	128	11755.2	461350
contigs/ERR3449879.fasta	FASTA	DNA	366	5377274	128	14692.0	313239
contigs/ERR3449880.fasta	FASTA	DNA	828	5414633	128	6539.4	107939
contigs/ERR3449881.fasta	FASTA	DNA	980	5159030	128	5264.3	67594
contigs/ERR3449882.fasta	FASTA	DNA	267	4876701	128	18264.8	227263
contigs/ERR3449883.fasta	FASTA	DNA	296	4783754	128	16161.3	272461
contigs/ERR3449884.fasta	FASTA	DNA	685	5474001	128	7991.2	427597
contigs/ERR3449885.fasta	FASTA	DNA	499	5324113	128	10669.6	265276
contigs/ERR3449886.fasta	FASTA	DNA	312	4866216	128	15596.8	409243
contigs/ERR3449887.fasta	FASTA	DNA	487	4891564	128	10044.3	287160
contigs/ERR349887.fasta	FASTA	DNA	457	2144850	56	4693.3	140224
contigs/ERR349889.fasta	FASTA	DNA	439	2197141	56	5004.9	207481
contigs/ERR349897.fasta	FASTA	DNA	479	2202966	56	4599.1	207755
contigs/ERR349903.fasta	FASTA	DNA	383	2178707	56	5688.5	207638
contigs/ERR349904.fasta	FASTA	DNA	394	2176806	56	5524.9	140172
contigs/ERR349906.fasta	FASTA	DNA	454	2156215	56	4749.4	152603
contigs/ERR349910.fasta	FASTA	DNA	375	2155841	56	5748.9	209562
contigs/ERR349911.fasta	FASTA	DNA	356	2137168	56	6003.3	152674
contigs/ERR349912.fasta	FASTA	DNA	536	2163614	56	4036.6	175501
contigs/ERR349913.fasta	FASTA	DNA	553	2168922	56	3922.1	207248
contigs/ERR349914.fasta	FASTA	DNA	3	31612	111	10537.3	23348
contigs/ERR349915.fasta	FASTA	DNA	439	2101118	56	4786.1	204558
contigs/ERR349918.fasta	FASTA	DNA	460	2100365	56	4566.0	140209
contigs/ERR349920.fasta	FASTA	DNA	442	2146107	56	4855.4	140139
contigs/ERR349921.fasta	FASTA	DNA	395	2177800	56	5513.4	140032
contigs/ERR349922.fasta	FASTA	DNA	376	2176862	56	5789.5	153900
contigs/ERR349928.fasta	FASTA	DNA	547	2145241	56	3921.8	140133
contigs/ERR349933.fasta	FASTA	DNA	806	2835643	56	3518.2	207730
contigs/ERR349934.fasta	FASTA	DNA	437	2153942	56	4928.9	154151
contigs/ERR349936.fasta	FASTA	DNA	478	2203241	56	4609.3	207240
contigs/ERR349938.fasta	FASTA	DNA	493	2158557	56	4378.4	139993
contigs/ERR349943.fasta	FASTA	DNA	403	2177591	56	5403.5	140172
contigs/ERR349965.fasta	FASTA	DNA	425	2126472	56	5003.5	140000
contigs/SRR1661199.fasta	FASTA	DNA	365	2240906	128	6139.5	207889
contigs/SRR1661210.fasta	FASTA	DNA	194	2183317	128	11254.2	207820
contigs/SRR1661212.fasta	FASTA	DNA	227	2176237	128	9586.9	207833
contigs/SRR1661213.fasta	FASTA	DNA	195	2176877	128	11163.5	207878
contigs/SRR1661216.fasta	FASTA	DNA	378	2189885	128	5793.3	85715
contigs/SRR1661217.fasta	FASTA	DNA	279	2187068	128	7839.0	208039
contigs/SRR1661219.fasta	FASTA	DNA	272	2198949	128	8084.4	108228
contigs/SRR1661224.fasta	FASTA	DNA	250	2216062	128	8864.2	208371
contigs/SRR1661225.fasta	FASTA	DNA	215	2223913	128	10343.8	207694
contigs/SRR1661230.fasta	FASTA	DNA	226	2179169	128	9642.3	152550
contigs/SRR1661231.fasta	FASTA	DNA	271	2188006	128	8073.8	155857
contigs/SRR1661232.fasta	FASTA	DNA	435	2196482	128	5049.4	173144
contigs/SRR1661234.fasta	FASTA	DNA	165	2175514	128	13184.9	292654
contigs/SRR1661236.fasta	FASTA	DNA	189	2190365	128	11589.2	211075
contigs/SRR1661237.fasta	FASTA	DNA	188	2186577	128	11630.7	249910
contigs/SRR1661238.fasta	FASTA	DNA	186	2183147	128	11737.3	253249
contigs/SRR1661239.fasta	FASTA	DNA	215	2189116	128	10181.9	271954
contigs/SRR1661240.fasta	FASTA	DNA	186	2190877	128	11778.9	292686
contigs/SRR1661241.fasta	FASTA	DNA	186	2180995	128	11725.8	249944
contigs/SRR1661245.fasta	FASTA	DNA	942	2293098	128	2434.3	125382
contigs/SRR1661248.fasta	FASTA	DNA	259	2188468	128	8449.7	207885
contigs/SRR1661250.fasta	FASTA	DNA	202	2172532	128	10755.1	175817
contigs/SRR1661251.fasta	FASTA	DNA	255	2195139	128	8608.4	207870
contigs/SRR1661253.fasta	FASTA	DNA	467	2217103	128	4747.5	207841
contigs/SRR1661254.fasta	FASTA	DNA	253	2179812	128	8615.9	255138
contigs/SRR1661256.fasta	FASTA	DNA	168	2174674	128	12944.5	207961
contigs/SRR1661257.fasta	FASTA	DNA	237	2169070	128	9152.2	95476
contigs/SRR1661260.fasta	FASTA	DNA	222	2136997	128	9626.1	210111
contigs/SRR1661262.fasta	FASTA	DNA	255	2182418	128	8558.5	208086
contigs/SRR1661263.fasta	FASTA	DNA	169	2181804	128	12910.1	236747
contigs/SRR1661265.fasta	FASTA	DNA	190	2175596	128	11450.5	207971
contigs/SRR1661266.fasta	FASTA	DNA	193	2166099	128	11223.3	207550
contigs/SRR1661268.fasta	FASTA	DNA	280	2186998	128	7810.7	207930
contigs/SRR1661270.fasta	FASTA	DNA	189	2173097	128	11497.9	207793
contigs/SRR1661276.fasta	FASTA	DNA	245	2168041	128	8849.1	207955
contigs/SRR1661285.fasta	FASTA	DNA	156	2176639	128	13952.8	303957
contigs/SRR2544778.fasta	FASTA	DNA	285	4811153	128	16881.2	530664
contigs/SRR2544779.fasta	FASTA	DNA	606	5919543	128	9768.2	110745
contigs/SRR2544785.fasta	FASTA	DNA	2117	6340103	128	2994.9	135610
contigs/SRR2566858.fasta	FASTA	DNA	210	4908294	128	23372.8	540634
contigs/SRR2566864.fasta	FASTA	DNA	142	4944572	128	34820.9	1023813
contigs/SRR2566865.fasta	FASTA	DNA	252	4859509	128	19283.8	1113315
contigs/SRR2566872.fasta	FASTA	DNA	131	4970339	128	37941.5	474151
contigs/SRR2566876.fasta	FASTA	DNA	204	4963260	128	24329.7	497328
contigs/SRR2566877.fasta	FASTA	DNA	141	4939536	128	35032.2	384064
contigs/SRR2566882.fasta	FASTA	DNA	213	5066296	128	23785.4	561593
contigs/SRR2566885.fasta	FASTA	DNA	406	4834786	128	11908.3	1294667
contigs/SRR2566889.fasta	FASTA	DNA	494	5084296	128	10292.1	386490
contigs/SRR2566891.fasta	FASTA	DNA	153	4959208	128	32413.1	689173
contigs/SRR2566892.fasta	FASTA	DNA	170	4971444	128	29243.8	694286
contigs/SRR2566905.fasta	FASTA	DNA	188	5112612	128	27194.7	625977
contigs/SRR2566907.fasta	FASTA	DNA	185	4764425	128	25753.6	1508487
contigs/SRR2566915.fasta	FASTA	DNA	174	4921640	128	28285.3	753948
contigs/SRR2566923.fasta	FASTA	DNA	100	4747203	128	47472.0	532925
contigs/SRR2566925.fasta	FASTA	DNA	157	4796519	128	30551.1	1022718
contigs/SRR2566926.fasta	FASTA	DNA	192	5217471	128	27174.3	312947
contigs/SRR2566929.fasta	FASTA	DNA	144	5016982	128	34840.2	1022295
contigs/SRR2566933.fasta	FASTA	DNA	305	5028575	128	16487.1	387173
contigs/SRR2566938.fasta	FASTA	DNA	201	5113825	128	25441.9	708166
contigs/SRR2566941.fasta	FASTA	DNA	153	5010937	128	32751.2	452354
contigs/SRR2566946.fasta	FASTA	DNA	196	4837552	128	24681.4	555387
contigs/SRR2566956.fasta	FASTA	DNA	87	4713901	128	54182.8	1337395
contigs/SRR2566958.fasta	FASTA	DNA	120	4765340	128	39711.2	615679
contigs/SRR2566962.fasta	FASTA	DNA	411	5016417	128	12205.4	473910
contigs/SRR2566979.fasta	FASTA	DNA	160	4728823	128	29555.1	737031
contigs/SRR2566980.fasta	FASTA	DNA	227	5079019	128	22374.5	401041
contigs/SRR2566981.fasta	FASTA	DNA	133	4889201	128	36760.9	1269327
contigs/SRR2566982.fasta	FASTA	DNA	145	4972374	128	34292.2	1959435
contigs/SRR2566984.fasta	FASTA	DNA	234	5487808	128	23452.2	390391
contigs/SRR2566985.fasta	FASTA	DNA	142	4832511	128	34031.8	1038022
contigs/SRR2566987.fasta	FASTA	DNA	189	4966401	128	26277.3	948506
contigs/SRR2566989.fasta	FASTA	DNA	284	5499760	128	19365.4	390391
contigs/SRR2566993.fasta	FASTA	DNA	198	4941056	128	24954.8	1022724
contigs/SRR2566994.fasta	FASTA	DNA	233	5152926	128	22115.6	1022731
contigs/SRR2567000.fasta	FASTA	DNA	184	4909218	128	26680.5	876787
contigs/SRR2567001.fasta	FASTA	DNA	426	4989690	128	11712.9	411556
contigs/SRR2567004.fasta	FASTA	DNA	298	4983198	128	16722.1	370852
contigs/SRR2567008.fasta	FASTA	DNA	134	4810932	128	35902.5	953480
contigs/SRR2567010.fasta	FASTA	DNA	126	4662725	128	37005.8	530799
contigs/SRR2567014.fasta	FASTA	DNA	184	4746935	128	25798.6	1468951
contigs/SRR2567021.fasta	FASTA	DNA	484	5018571	128	10368.9	211515
contigs/SRR2567023.fasta	FASTA	DNA	111	4770495	128	42977.4	1162412
contigs/SRR2567026.fasta	FASTA	DNA	148	5039667	128	34051.8	706388
contigs/SRR2567028.fasta	FASTA	DNA	243	4939285	128	20326.3	393945
contigs/SRR2567032.fasta	FASTA	DNA	175	4997280	128	28555.9	538849
contigs/SRR2567036.fasta	FASTA	DNA	103	4850363	128	47090.9	925739
contigs/SRR2567040.fasta	FASTA	DNA	114	4794035	128	42052.9	1117327
contigs/SRR2567041.fasta	FASTA	DNA	126	4909039	128	38960.6	621463
contigs/SRR2567045.fasta	FASTA	DNA	134	4889957	128	36492.2	499181
contigs/SRR2567047.fasta	FASTA	DNA	124	4910496	128	39600.8	403113
contigs/SRR2567051.fasta	FASTA	DNA	153	4948698	128	32344.4	522159
contigs/SRR2567056.fasta	FASTA	DNA	135	4849575	128	35922.8	1123781
contigs/SRR2567057.fasta	FASTA	DNA	142	4853782	128	34181.6	1976178
contigs/SRR2567058.fasta	FASTA	DNA	168	4937722	128	29391.2	867836
contigs/SRR2567059.fasta	FASTA	DNA	81	4762006	128	58790.2	1508892
contigs/SRR2567062.fasta	FASTA	DNA	138	5022731	128	36396.6	554877
contigs/SRR2567064.fasta	FASTA	DNA	172	5084362	128	29560.2	1022731
contigs/SRR2567067.fasta	FASTA	DNA	143	4891014	128	34202.9	649365
contigs/SRR2567068.fasta	FASTA	DNA	124	5043826	128	40676.0	625978
contigs/SRR2567072.fasta	FASTA	DNA	141	5016402	128	35577.3	875337
contigs/SRR2567077.fasta	FASTA	DNA	234	5020194	128	21453.8	406957
contigs/SRR2567079.fasta	FASTA	DNA	167	5112384	128	30613.1	707880
contigs/SRR2567083.fasta	FASTA	DNA	148	4697545	128	31740.2	876600
contigs/SRR2567085.fasta	FASTA	DNA	134	4844004	128	36149.3	869670
contigs/SRR2567088.fasta	FASTA	DNA	204	5317831	128	26067.8	689487
contigs/SRR2567094.fasta	FASTA	DNA	225	5071023	128	22537.9	409142
contigs/SRR2567113.fasta	FASTA	DNA	123	4729231	128	38449.0	682191
contigs/SRR2567122.fasta	FASTA	DNA	128	4805850	128	37545.7	1022738
contigs/SRR2567125.fasta	FASTA	DNA	111	4993631	128	44987.7	680344
contigs/SRR2567132.fasta	FASTA	DNA	218	5480002	128	25137.6	439625
contigs/SRR2567148.fasta	FASTA	DNA	146	5016302	128	34358.2	602644
contigs/SRR2567151.fasta	FASTA	DNA	194	4886634	128	25188.8	876602
contigs/SRR2567164.fasta	FASTA	DNA	194	5225654	128	26936.4	724029
contigs/SRR2567167.fasta	FASTA	DNA	168	4893223	128	29126.3	878045
contigs/SRR2567172.fasta	FASTA	DNA	149	4903898	128	32912.1	1162747
contigs/SRR2567174.fasta	FASTA	DNA	227	5416627	128	23861.8	689487
contigs/SRR2567177.fasta	FASTA	DNA	125	4833134	128	38665.1	1420234
contigs/SRR2567178.fasta	FASTA	DNA	325	4812289	128	14807.0	350565
contigs/SRR2567183.fasta	FASTA	DNA	392	5044493	128	12868.6	790286
contigs/SRR2567193.fasta	FASTA	DNA	162	5042186	128	31124.6	707880
contigs/SRR2567196.fasta	FASTA	DNA	117	4921837	128	42067.0	707879
contigs/SRR2567205.fasta	FASTA	DNA	179	4901141	128	27380.7	878047
contigs/SRR2567206.fasta	FASTA	DNA	147	4947577	128	33657.0	1124810
contigs/SRR2567209.fasta	FASTA	DNA	149	4887958	128	32805.1	626210
contigs/SRR2583954.fasta	FASTA	DNA	122	4999173	128	40976.8	951864
contigs/SRR2583959.fasta	FASTA	DNA	100	4942400	128	49424.0	795815
contigs/SRR2638018.fasta	FASTA	DNA	311	4954722	78	15931.6	741374
contigs/SRR2648195.fasta	FASTA	DNA	148	4817239	128	32548.9	573086
contigs/SRR2648751.fasta	FASTA	DNA	213	4978994	78	23375.6	518740
contigs/SRR2669161.fasta	FASTA	DNA	319	5202051	128	16307.4	1022739
contigs/SRR2670695.fasta	FASTA	DNA	263	5017409	128	19077.6	656427
contigs/SRR2670707.fasta	FASTA	DNA	174	4966841	128	28545.1	656430
contigs/SRR2670712.fasta	FASTA	DNA	151	4898053	128	32437.4	762299
contigs/SRR2724060.fasta	FASTA	DNA	159	4921167	128	30950.7	1022748
