,file,format,type,num_seqs,sum_len,min_len,avg_len,max_len,long_short,accession,layout,reverse,genus_species,phenotype
0,DRR124693_1.fastq,FASTQ,DNA,566402,165882427,35,292.9,301,short,DRR124693,paired,2,neisseria_gonorrhoeae,Intermediate
1,DRR124693_2.fastq,FASTQ,DNA,566402,166142193,35,293.3,301,short,DRR124693,paired,NaN,neisseria_gonorrhoeae,Intermediate
2,DRR170693.fastq,FASTQ,DNA,60909,341472868,51,5606.3,37174,long,DRR170693,single,NaN,staphylococcus_aureus,Intermediate
3,DRR170697.fastq,FASTQ,DNA,211072,1149935856,51,5448.1,35060,long,DRR170697,single,NaN,staphylococcus_aureus,Intermediate
4,DRR170701.fastq,FASTQ,DNA,120943,724186296,51,5987.8,46366,long,DRR170701,single,NaN,staphylococcus_aureus,Intermediate
5,ERR016633_1.fastq,FASTQ,DNA,71995,4304504,53,59.8,60,short,ERR016633,paired,4,streptococcus_pneumoniae,Resistant
6,ERR016633_4.fastq,FASTQ,DNA,71995,3887730,54,54.0,54,short,ERR016633,paired,NaN,streptococcus_pneumoniae,Resistant
7,ERR016635_1.fastq,FASTQ,DNA,542093,32525580,60,60.0,60,short,ERR016635,paired,4,streptococcus_pneumoniae,Resistant
8,ERR016635_4.fastq,FASTQ,DNA,542093,29273022,54,54.0,54,short,ERR016635,paired,NaN,streptococcus_pneumoniae,Resistant
9,ERR016637_1.fastq,FASTQ,DNA,236066,14163960,60,60.0,60,short,ERR016637,paired,4,streptococcus_pneumoniae,Resistant
10,ERR016637_4.fastq,FASTQ,DNA,236066,12747564,54,54.0,54,short,ERR016637,paired,NaN,streptococcus_pneumoniae,Resistant
11,ERR016639_1.fastq,FASTQ,DNA,1108083,66484980,60,60.0,60,short,ERR016639,paired,4,streptococcus_pneumoniae,Resistant
12,ERR016639_4.fastq,FASTQ,DNA,1108083,59836482,54,54.0,54,short,ERR016639,paired,NaN,streptococcus_pneumoniae,Resistant
13,ERR016640_1.fastq,FASTQ,DNA,1636494,98189640,60,60.0,60,short,ERR016640,paired,4,streptococcus_pneumoniae,Resistant
14,ERR016640_4.fastq,FASTQ,DNA,1636494,88370676,54,54.0,54,short,ERR016640,paired,NaN,streptococcus_pneumoniae,Resistant
15,ERR016644_1.fastq,FASTQ,DNA,154748,9241999,53,59.7,60,short,ERR016644,paired,4,streptococcus_pneumoniae,Resistant
16,ERR016644_4.fastq,FASTQ,DNA,154748,8356392,54,54.0,54,short,ERR016644,paired,NaN,streptococcus_pneumoniae,Resistant
