file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
./fastq/DRR124693_1.fastq	FASTQ	DNA	566402	165882427	35	292.9	301
./fastq/DRR124693_2.fastq	FASTQ	DNA	566402	166142193	35	293.3	301
./fastq/DRR170693.fastq	FASTQ	DNA	60909	341472868	51	5606.3	37174
./fastq/DRR170697.fastq	FASTQ	DNA	211072	1149935856	51	5448.1	35060
./fastq/DRR170701.fastq	FASTQ	DNA	120943	724186296	51	5987.8	46366
./fastq/ERR016633_1.fastq	FASTQ	DNA	71995	4304504	53	59.8	60
./fastq/ERR016633_4.fastq	FASTQ	DNA	71995	3887730	54	54.0	54
./fastq/ERR016635_1.fastq	FASTQ	DNA	542093	32525580	60	60.0	60
./fastq/ERR016635_4.fastq	FASTQ	DNA	542093	29273022	54	54.0	54
./fastq/ERR016637_1.fastq	FASTQ	DNA	236066	14163960	60	60.0	60
./fastq/ERR016637_4.fastq	FASTQ	DNA	236066	12747564	54	54.0	54
./fastq/ERR016639_1.fastq	FASTQ	DNA	1108083	66484980	60	60.0	60
./fastq/ERR016639_4.fastq	FASTQ	DNA	1108083	59836482	54	54.0	54
./fastq/ERR016640_1.fastq	FASTQ	DNA	1636494	98189640	60	60.0	60
./fastq/ERR016640_4.fastq	FASTQ	DNA	1636494	88370676	54	54.0	54
./fastq/ERR016644_1.fastq	FASTQ	DNA	154748	9241999	53	59.7	60
./fastq/ERR016644_4.fastq	FASTQ	DNA	154748	8356392	54	54.0	54
./fastq/ERR016645_1.fastq	FASTQ	DNA	1497991	89879460	60	60.0	60
./fastq/ERR016645_4.fastq	FASTQ	DNA	1497991	80891514	54	54.0	54
./fastq/ERR016646_1.fastq	FASTQ	DNA	836520	50191200	60	60.0	60
./fastq/ERR016646_4.fastq	FASTQ	DNA	836520	45172080	54	54.0	54
./fastq/ERR016648_1.fastq	FASTQ	DNA	1178350	70701000	60	60.0	60
./fastq/ERR016648_4.fastq	FASTQ	DNA	1178350	63630900	54	54.0	54
./fastq/ERR016650_1.fastq	FASTQ	DNA	381428	22885680	60	60.0	60
./fastq/ERR016650_4.fastq	FASTQ	DNA	381428	20597112	54	54.0	54
./fastq/ERR016652_1.fastq	FASTQ	DNA	1217748	73064880	60	60.0	60
./fastq/ERR016652_4.fastq	FASTQ	DNA	1217748	65758392	54	54.0	54
./fastq/ERR016653_1.fastq	FASTQ	DNA	6501388	390083280	60	60.0	60
./fastq/ERR016653_4.fastq	FASTQ	DNA	6501388	351074952	54	54.0	54
./fastq/ERR016654_1.fastq	FASTQ	DNA	688282	41296920	60	60.0	60
./fastq/ERR016654_4.fastq	FASTQ	DNA	688282	37167228	54	54.0	54
./fastq/ERR016655_1.fastq	FASTQ	DNA	877377	52642620	60	60.0	60
./fastq/ERR016655_4.fastq	FASTQ	DNA	877377	47378358	54	54.0	54
./fastq/ERR016656_1.fastq	FASTQ	DNA	905563	54333780	60	60.0	60
./fastq/ERR016656_4.fastq	FASTQ	DNA	905563	48900402	54	54.0	54
./fastq/ERR016657_1.fastq	FASTQ	DNA	119790	7156593	53	59.7	60
./fastq/ERR016657_4.fastq	FASTQ	DNA	119790	6468660	54	54.0	54
./fastq/ERR016658_1.fastq	FASTQ	DNA	319662	19179720	60	60.0	60
./fastq/ERR016658_4.fastq	FASTQ	DNA	319662	17261748	54	54.0	54
./fastq/ERR016663_1.fastq	FASTQ	DNA	840248	50414880	60	60.0	60
./fastq/ERR016663_4.fastq	FASTQ	DNA	840248	45373392	54	54.0	54
./fastq/ERR016664_1.fastq	FASTQ	DNA	1220178	73210680	60	60.0	60
./fastq/ERR016664_4.fastq	FASTQ	DNA	1220178	65889612	54	54.0	54
./fastq/ERR016666_1.fastq	FASTQ	DNA	1387600	83256000	60	60.0	60
./fastq/ERR016666_4.fastq	FASTQ	DNA	1387600	74930400	54	54.0	54
./fastq/ERR016668_1.fastq	FASTQ	DNA	2688683	161320980	60	60.0	60
./fastq/ERR016668_4.fastq	FASTQ	DNA	2688683	145188882	54	54.0	54
./fastq/ERR016669_1.fastq	FASTQ	DNA	91466	5470339	53	59.8	60
./fastq/ERR016669_4.fastq	FASTQ	DNA	91466	4939164	54	54.0	54
./fastq/ERR016670_1.fastq	FASTQ	DNA	1294963	77697780	60	60.0	60
./fastq/ERR016670_4.fastq	FASTQ	DNA	1294963	69928002	54	54.0	54
./fastq/ERR016672_1.fastq	FASTQ	DNA	1351819	81109140	60	60.0	60
./fastq/ERR016672_4.fastq	FASTQ	DNA	1351819	72998226	54	54.0	54
./fastq/ERR016679_1.fastq	FASTQ	DNA	651335	39080100	60	60.0	60
./fastq/ERR016679_4.fastq	FASTQ	DNA	651335	35172090	54	54.0	54
./fastq/ERR016681_1.fastq	FASTQ	DNA	855264	51315840	60	60.0	60
./fastq/ERR016681_4.fastq	FASTQ	DNA	855264	46184256	54	54.0	54
./fastq/ERR016691_1.fastq	FASTQ	DNA	112831	6743600	53	59.8	60
./fastq/ERR016691_4.fastq	FASTQ	DNA	112831	6092874	54	54.0	54
./fastq/ERR016694_1.fastq	FASTQ	DNA	958408	57504480	60	60.0	60
./fastq/ERR016694_4.fastq	FASTQ	DNA	958408	51754032	54	54.0	54
./fastq/ERR016695_1.fastq	FASTQ	DNA	2901997	174119820	60	60.0	60
./fastq/ERR016695_4.fastq	FASTQ	DNA	2901997	156707838	54	54.0	54
./fastq/ERR016699_1.fastq	FASTQ	DNA	821902	49314120	60	60.0	60
./fastq/ERR016699_4.fastq	FASTQ	DNA	821902	44382708	54	54.0	54
./fastq/ERR016700_1.fastq	FASTQ	DNA	1145780	68746800	60	60.0	60
./fastq/ERR016700_4.fastq	FASTQ	DNA	1145780	61872120	54	54.0	54
./fastq/ERR016713_1.fastq	FASTQ	DNA	239688	14323387	53	59.8	60
./fastq/ERR016713_4.fastq	FASTQ	DNA	239688	12943152	54	54.0	54
./fastq/ERR016721_1.fastq	FASTQ	DNA	2379339	142760340	60	60.0	60
./fastq/ERR016721_4.fastq	FASTQ	DNA	2379339	128484306	54	54.0	54
./fastq/ERR016723_1.fastq	FASTQ	DNA	157420	9406747	53	59.8	60
./fastq/ERR016723_4.fastq	FASTQ	DNA	157420	8500680	54	54.0	54
./fastq/ERR016725_1.fastq	FASTQ	DNA	581729	34903740	60	60.0	60
./fastq/ERR016725_4.fastq	FASTQ	DNA	581729	31413366	54	54.0	54
./fastq/ERR016728_1.fastq	FASTQ	DNA	858362	51501720	60	60.0	60
./fastq/ERR016728_4.fastq	FASTQ	DNA	858362	46351548	54	54.0	54
./fastq/ERR016729_1.fastq	FASTQ	DNA	1194190	71651400	60	60.0	60
./fastq/ERR016729_4.fastq	FASTQ	DNA	1194190	64486260	54	54.0	54
./fastq/ERR016733_1.fastq	FASTQ	DNA	198589	11845449	53	59.6	60
./fastq/ERR016733_4.fastq	FASTQ	DNA	198589	10723806	54	54.0	54
./fastq/ERR016736_1.fastq	FASTQ	DNA	754296	45257760	60	60.0	60
./fastq/ERR016736_4.fastq	FASTQ	DNA	754296	40731984	54	54.0	54
./fastq/ERR016745_1.fastq	FASTQ	DNA	871261	52275660	60	60.0	60
./fastq/ERR016745_4.fastq	FASTQ	DNA	871261	47048094	54	54.0	54
./fastq/ERR016746_1.fastq	FASTQ	DNA	80488	4806551	53	59.7	60
./fastq/ERR016746_4.fastq	FASTQ	DNA	80488	4346352	54	54.0	54
./fastq/ERR016747_1.fastq	FASTQ	DNA	942018	56521080	60	60.0	60
./fastq/ERR016747_4.fastq	FASTQ	DNA	942018	50868972	54	54.0	54
./fastq/ERR016750_1.fastq	FASTQ	DNA	2859648	171578880	60	60.0	60
